3.40455,2.33595,1.05816
3.40521,2.33989,1.05882
3.40752,2.33661,1.05389
3.41048,2.34253,1.05717
3.40686,2.34154,1.06013
3.40423,2.34187,1.05652
3.40455,2.34351,1.05454
3.40455,2.33825,1.05750
3.40159,2.33957,1.05652
3.40324,2.33891,1.05586
3.40291,2.33628,1.05619
3.40258,2.33463,1.05882
3.40587,2.34088,1.05981
3.40784,2.34285,1.05586
3.40554,2.34055,1.05389
3.40390,2.33792,1.05849
3.40192,2.33595,1.05389
3.40620,2.33463,1.05750
3.40554,2.34022,1.05783
3.40324,2.34154,1.05619
3.41015,2.33562,1.05685
3.40192,2.33924,1.05717
3.40423,2.34022,1.05520
3.40620,2.33759,1.05882
3.40916,2.33628,1.05783
3.40587,2.34351,1.05981
3.40686,2.34187,1.05487
3.40817,2.33957,1.05717
3.40028,2.33759,1.05915
3.40982,2.33661,1.05553
3.40752,2.34022,1.05356
3.40850,2.34121,1.05520
3.40916,2.34121,1.05652
3.40390,2.33496,1.05652
3.40094,2.33628,1.05816
3.40686,2.33891,1.05520
3.40357,2.34088,1.05586
3.40291,2.34220,1.05685
3.40061,2.33957,1.05750
3.40192,2.33529,1.05717
3.40521,2.34121,1.05586
3.40488,2.33989,1.05619
3.40390,2.34154,1.05454
3.40455,2.33463,1.05849
3.40291,2.34022,1.05191
3.40488,2.33825,1.05882
3.40094,2.33628,1.05619
3.40225,2.33891,1.05619
3.40324,2.34055,1.05389
3.40752,2.33891,1.05323
3.40324,2.33693,1.05553
3.40752,2.33759,1.05619
3.40423,2.33989,1.05750
3.41048,2.34022,1.05717
3.40192,2.33693,1.05520
3.40192,2.33792,1.05553
3.41212,2.34187,1.05948
3.40390,2.33397,1.05816
3.40554,2.33529,1.05619
3.40949,2.33891,1.05553
3.40719,2.34022,1.05619
3.40752,2.34055,1.05619
3.40982,2.33759,1.05553
3.40784,2.33957,1.05816
3.40258,2.33825,1.05915
3.40817,2.34187,1.05454
3.40653,2.34285,1.05487
3.40390,2.33529,1.05586
3.40192,2.34022,1.05619
3.40817,2.34022,1.05816
3.40094,2.34022,1.05652
3.40521,2.33957,1.05849
3.40357,2.34088,1.05619
3.40982,2.34154,1.05487
3.40554,2.34088,1.05816
3.40192,2.34285,1.05290
3.40587,2.33496,1.05487
3.40455,2.33989,1.05389
3.40620,2.34187,1.05783
3.40390,2.34253,1.05487
3.40850,2.34121,1.05454
3.39798,2.33891,1.05849
3.40488,2.34384,1.05717
3.40850,2.34121,1.05717
3.41311,2.33693,1.05816
3.40817,2.33759,1.05553
3.40587,2.34088,1.05750
3.40719,2.34022,1.05421
3.41179,2.33858,1.05783
3.40554,2.33430,1.05915
3.40488,2.34022,1.05685
3.40686,2.33924,1.05553
3.40916,2.34516,1.05421
3.40488,2.34253,1.06112
3.40784,2.33989,1.05816
3.40653,2.33924,1.05454
3.39962,2.33529,1.05750
3.39962,2.33463,1.05750
3.40291,2.33792,1.05421
3.40357,2.33858,1.05224
3.40521,2.33529,1.05652
3.40554,2.34022,1.05454
3.40620,2.33989,1.05553
3.40949,2.34417,1.05356
3.40488,2.33891,1.05948
3.40817,2.33989,1.05257
3.39732,2.33759,1.05421
3.40324,2.34450,1.05520
3.40225,2.33989,1.05553
3.40719,2.33693,1.05717
3.40225,2.34022,1.05586
3.40094,2.34154,1.05685
3.40752,2.33430,1.05487
3.40883,2.33726,1.05915
3.40883,2.33957,1.05783
3.40192,2.34022,1.05816
3.40291,2.33726,1.05356
3.40455,2.33693,1.05619
3.40127,2.33957,1.05553
3.40752,2.33891,1.05553
3.40225,2.33299,1.05619
3.40455,2.33858,1.05586
3.39995,2.33562,1.05586
3.40258,2.34055,1.05685
3.40225,2.34417,1.05783
3.40719,2.33858,1.05619
3.40192,2.34154,1.05750
3.40192,2.33529,1.05454
3.41015,2.34055,1.05389
3.39995,2.34022,1.05717
3.40949,2.33759,1.05257
3.40719,2.33825,1.05487
3.40982,2.33957,1.05553
3.40521,2.33628,1.05915
3.40686,2.34220,1.05717
3.39896,2.33595,1.06079
3.40390,2.33595,1.05685
3.40949,2.34088,1.05816
3.40488,2.33924,1.05421
3.40653,2.33628,1.05586
3.40554,2.34285,1.05356
3.40028,2.33825,1.05454
3.39962,2.34154,1.05520
3.40390,2.33759,1.06013
3.41048,2.34187,1.05750
3.40554,2.33496,1.05882
3.40620,2.34483,1.05290
3.40291,2.33397,1.05356
3.40521,2.33825,1.05421
3.40686,2.33891,1.05487
3.40817,2.33759,1.05191
3.40192,2.34285,1.05652
3.40324,2.34351,1.05816
3.41245,2.33891,1.05849
3.40620,2.33595,1.05619
3.40817,2.33463,1.05553
3.40916,2.34088,1.05454
3.40916,2.33628,1.05783
3.40686,2.33726,1.05454
3.40620,2.33957,1.05356
3.40291,2.33562,1.05389
3.40916,2.33529,1.05717
3.40554,2.33924,1.05652
3.40357,2.33595,1.06046
3.40784,2.33726,1.05520
3.40850,2.34351,1.05356
3.40192,2.33924,1.05981
3.40521,2.33924,1.05717
3.40653,2.34055,1.05849
3.40686,2.33726,1.06079
3.40982,2.33792,1.05816
3.41048,2.34088,1.05652
3.40423,2.33858,1.05948
3.40784,2.33858,1.05553
3.40225,2.34450,1.05717
3.40554,2.33989,1.05421
3.40225,2.34253,1.05553
3.40225,2.34154,1.05619
3.40094,2.33891,1.06277
3.40620,2.34154,1.05487
3.40324,2.33957,1.05652
3.40423,2.33891,1.05685
3.40817,2.33529,1.05685
3.39633,2.33562,1.05816
3.40324,2.34121,1.05685
3.40719,2.33726,1.05750
3.40653,2.33661,1.05685
3.40357,2.33989,1.05685
3.40653,2.33595,1.05454
3.40324,2.33200,1.05750
3.40587,2.34154,1.05520
3.40620,2.33759,1.05750
3.40357,2.34022,1.05816
3.40719,2.33726,1.05652
3.40620,2.34088,1.05619
3.40554,2.33661,1.05421
3.40587,2.33693,1.05750
3.40423,2.34088,1.06079
3.40127,2.34417,1.05981
3.40225,2.34022,1.05586
3.40554,2.33693,1.05652
3.39896,2.34581,1.05619
3.40653,2.34187,1.05586
3.40587,2.33628,1.05652
3.40686,2.34318,1.05356
3.40752,2.34483,1.06211
3.40488,2.33628,1.05816
3.40719,2.34417,1.05652
3.40455,2.34022,1.05783
3.39962,2.34220,1.05652
3.40521,2.34187,1.06079
3.40719,2.34253,1.05750
